-0.22,1.11,-1.84;
0.23,1.06,-1.75;
0.61,0.67,-1.14;
0.12,0.48,-0.86;
-1.13,0.57,-0.05;
-1.47,0.60,0.22;
-1.19,0.45,1.11;
-0.43,0.39,1.55;
0.55,0.28,2.39;
1.26,-0.20,3.03;
1.59,-0.33,3.82;
1.43,-0.60,3.95;
1.13,-0.74,3.78;
1.08,-0.65,3.18;
1.11,-0.43,1.96;
0.24,-0.17,0.74;
-1.32,-0.25,-0.41;
-1.53,-0.16,-1.44;
-1.70,-0.20,-2.56;
-1.42,-0.16,-2.80;
-0.43,-0.13,-3.14;
0.67,-0.49,-3.12;
0.90,-0.69,-2.67;
0.29,-0.94,-2.38;
-0.48,-1.18,-1.57;
-0.37,-1.35,-0.62;
0.17,-1.32,-0.16;
1.37,-1.43,0.80;
1.74,-1.44,1.53;
2.00,-1.87,2.34;
2.10,-1.47,2.92;
2.03,-1.26,3.23;
1.71,-0.71,3.03;
0.33,-0.40,3.01;
-1.27,0.10,2.72;
-1.09,0.56,2.20;
-0.05,1.28,1.75;
0.65,1.57,0.74;
1.39,1.41,0.31;
1.55,1.64,-0.45;
1.25,1.95,-1.00;
0.65,1.73,-1.38;
0.36,1.81,-1.86;
0.99,1.70,-1.76;
1.66,1.75,-1.95;
1.81,1.51,-1.75;
1.78,0.91,-1.22;
1.69,0.50,-0.67;
0.82,-0.01,-0.33;
-0.48,-0.05,0.49;
-1.27,-0.28,1.00;
-1.90,-0.36,1.75;
-1.87,-0.49,2.17;
-1.47,-0.54,2.75;
-1.39,-0.71,2.95;
-0.48,-0.89,3.21;
0.12,-0.86,3.07;
0.67,-0.72,3.04;
0.62,-0.75,2.89;
0.50,-0.69,2.46;
0.30,-0.89,1.84;
1.08,-0.54,1.44;
1.46,-0.39,1.35;
1.62,-0.59,0.46;
1.66,-0.54,-0.44;
1.37,-0.45,-1.31;
0.47,-0.33,-1.86;
-0.17,-0.36,-2.27;
-0.58,-0.08,-2.13;
-0.61,-0.24,-2.27;
0.03,-0.33,-1.83;
0.76,-0.43,-1.96;
0.41,-0.28,-1.70;
0.07,-0.17,-1.34;
-0.25,-0.16,-1.00;
-0.64,0.10,-0.73;
-0.35,0.18,-0.35;
-0.14,0.47,-0.13;
0.44,0.54,-0.15;
0.33,0.73,0.42;
-0.22,0.50,0.63;
-0.22,0.73,0.30;
-0.20,0.38,0.20;
-0.54,0.21,-0.04;
-0.89,0.07,0.17;
-0.92,0.10,0.04;
-0.80,-0.19,-0.07;
-0.89,-0.20,0.08;
-0.84,-0.24,-0.07;
-0.78,-0.45,0.05;
-0.70,-0.43,-0.16;
-0.77,-0.69,-0.35;
-0.81,-0.62,-0.13;
-0.81,-0.60,0.10;
-0.90,-0.59,0.07;
-0.90,-0.49,0.27;
-0.67,-0.43,0.48;
-0.34,-0.27,0.34;
0.01,0.12,-0.01;
0.39,0.30,0.24;
0.42,0.28,0.20;
0.17,0.48,0.16;
1.01,0.59,0.34;
1.17,0.85,0.57;
1.01,0.82,0.33;
0.93,0.77,0.25;
1.19,0.62,0.40;
1.72,0.50,0.45;
1.83,0.39,0.54;
1.80,0.10,0.74;
1.63,-0.16,0.83;
